Point Name,Latitude,Longitude,Connected To,Segment Distance (km),Cumulative Distance (km),Type
DC1,24.826529,93.636694,N/A,0.0,0.0,DC Office
Joint01,24.827523096398906,93.63739779973973,DC1,0.131,0.131,Joint
Joint1,24.83106826145865,93.63327453881264,Joint01,0.573,0.705,Joint
Joint2,24.834037076810997,93.63383716698242,Joint1,0.335,1.04,Joint
Joint3,24.835999227722336,93.63369249109859,Joint2,0.219,1.258,Joint
Joint4,24.840375660403108,93.62923165323902,Joint3,0.663,1.921,Joint
Joint5,24.844482072368272,93.62696506527485,Joint4,0.511,2.432,Joint
Joint6,24.846137727479316,93.62746339306504,Joint5,0.191,2.623,Joint
Joint7,24.847282815179852,93.62682038928168,Joint6,0.143,2.766,Joint
Joint8,24.847683958037322,93.62583177118769,Joint7,0.109,2.875,Joint
Joint9,24.847698545025843,93.62366967145365,Joint8,0.218,3.093,Joint
Joint10,24.848785270831975,93.62217468799442,Joint9,0.193,3.286,Joint
Joint11,24.849864693766968,93.61987594976483,Joint10,0.261,3.547,Joint
Joint12,24.849864693766968,93.6186622803974,Joint11,0.122,3.67,Joint
Joint13,24.85023665488005,93.61673326948227,Joint12,0.199,3.869,Joint
BSNL Tower,24.85012648711566,93.61697354089821,Joint4,1.645,3.566,OLT
